"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 16:29:56 GMT 2021","Tue Aug 10 16:30:25 GMT 2021","28978","test-conduit","test_10_import_data_input_from_file","","","","test_data_input_from_file",""
"passed","Tue Aug 10 16:31:13 GMT 2021","Tue Aug 10 16:31:25 GMT 2021","12539","test-conduit","test_2_cookies","","","","test_cookies",""
"passed","Tue Aug 10 16:31:10 GMT 2021","Tue Aug 10 16:31:13 GMT 2021","2487","test-conduit","test_1_homepage","","","","test_homepage",""
"broken","Tue Aug 10 16:32:53 GMT 2021","Tue Aug 10 16:32:56 GMT 2021","3141","test-conduit","test_9_list_data","","","","test_list_data",""
"passed","Tue Aug 10 16:31:25 GMT 2021","Tue Aug 10 16:31:33 GMT 2021","7999","test-conduit","test_3_registration","","","","test_registration",""
"passed","Tue Aug 10 16:32:42 GMT 2021","Tue Aug 10 16:32:53 GMT 2021","10851","test-conduit","test_8_pagination","","","","test_pagination",""
"passed","Tue Aug 10 16:31:33 GMT 2021","Tue Aug 10 16:31:51 GMT 2021","17887","test-conduit","test_4_login","","","","test_login",""
"passed","Tue Aug 10 16:30:50 GMT 2021","Tue Aug 10 16:31:10 GMT 2021","20949","test-conduit","test_12_logout","","","","test_logout",""
"passed","Tue Aug 10 16:31:51 GMT 2021","Tue Aug 10 16:32:03 GMT 2021","12090","test-conduit","test_5_add_new_article","","","","test_add_new_article",""
"failed","Tue Aug 10 16:32:03 GMT 2021","Tue Aug 10 16:32:23 GMT 2021","19583","test-conduit","test_6_modify_article","","","","test_modify_article",""
"passed","Tue Aug 10 16:32:23 GMT 2021","Tue Aug 10 16:32:42 GMT 2021","19336","test-conduit","test_7_delete_article_3","","","","test_delete_article",""
"passed","Tue Aug 10 16:30:25 GMT 2021","Tue Aug 10 16:30:49 GMT 2021","24036","test-conduit","test_11_saving_data_into_file","","","","test_lementes_feluletrol",""
